UPC,Mercado,Sub-Mercado,Atributo Categoria,Laboratorio,Laboratorio Completo,DESCRIPCION,SUN FILE,PAIS,MINERAL / NO MINERAL,TRACKER,TRACKER DESCRIPCION
1,BODY,BODY TREATMENT,DRY SKIN TREATMENT,ISDIN,ISDIN,ISDIN HYTRATION UREADIN SPRY & GO LOCION+FOTOULT PLT 50 200,,CHILE,,,
2,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,P.LABELS,CREMAS FACIALES P.LABELS P.LABELS P.LABELS SENSIBLE LIMPIEZA SIN UV,,CHILE,,,
3,FACE,ANTI-AGE,ANTI-AGE,ISDIN,ISDIN,UREADIN RX LOCION ULTRA HIDRATANTE FLUIDA HL CJ CTN 200,,CHILE,,,
4,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,P.LABELS,CREMAS FACIALES P.LABELS P.LABELS P.LABELS SECA ANTI-EDAD SIN UV,,CHILE,,,
5,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,P.LABELS,CREMAS FACIALES P.LABELS P.LABELS P.LABELS TODO TIPO ANTI-EDAD 15,,CHILE,,,
6,RESTORING,RESTORING,RESTORING,EUCERIN,BEIERSDORF,EUCERIN AQUAPHOR POMADA REPAR HEALING OINMENT 55 ML,,CHILE,,,
7,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,P.LABELS,CREMAS FACIALES P.LABELS P.LABELS P.LABELS TODO TIPO LIP CARE SIN UV,,CHILE,,,
8,SUN,SUN BODY,SUN BODY,OTROS LAB,P.LABELS,FILTROS SOLARES P.LABELS P.LABELS P.LABELS TODO TIPO AFTER SUN SIN UV,,CHILE,-,-,
9,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY NEOVADIOL GF JA NOCHE CJ NC 50 CJ NC 50,,CHILE,,,
10,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY NEOVADIOL GF NOCHE JA CJ NC 50 CJ NC 50,,CHILE,,,
11,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,P.LABELS,CREMAS FACIALES P.LABELS P.LABELS P.LABELS TODO TIPO ANTI-EDAD 30,,CHILE,,,
12,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,EUCERIN,BEIERSDORF,EUCERIN PH5 MAL P.SEC/SENS POT PL 98,,CHILE,,,
13,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,ISISPHARMA,ISISPHARMA AQUARUBORIL LOCION LIMPIEZA BT PLT 250ML,,CHILE,,,
14,SUN,SUN FACE,SUN FACE NON TINTED,ISDIN,ISDIN,ISDIN FOTOPROTECT FUSION FLUID MINERAL SPF50+ CJ CTN 50ML,Aqua- Fluid Formulas sun protection,CHILE,,,
15,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,...,LA ROSEE CREM HIDRATANT P/SECA POM PL 60ML,,CHILE,,,
16,SUN,SUN BODY,SUN BODY,OTROS LAB,P.LABELS,FILTROS SOLARES P.LABELS P.LABELS P.LABELS TODO TIPO SUN BODY 30,,CHILE,,,
17,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY MINERAL 89 GEL CJ CTN 75ML,,CHILE,,,
18,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,P.LABELS,ARA MANOS Y CUERPO P.LABELS P.LABELS P.LABELS NORMAL SENSITIVE / DRY SKIN SIN UV,,CHILE,,,
19,SUN,SUN FACE,SUN FACE NON TINTED,OTROS LAB,P.LABELS,FILTROS SOLARES P.LABELS P.LABELS P.LABELS TODO TIPO SUN FACE 30,Sensitive Skin/ basic sun protection,CHILE,,,
