TIPO,CANAL,CATEGORIA,SUBCATEGORIA,Incluir,otc4_code,Category,SubCategory,Segment,PRESENTACION,PRODUCTO,BRAND,LABORATORIO,ETICO/POPULAR,FCC,MTH - 202103,MTH - 202104,MTH - 202105,MTH - 202106,MTH - 202107,MTH - 202108,MTH - 202109,MTH - 202110,MTH - 202111,MTH - 202112,MTH - 202201,MTH - 202202,MTH - 202203,MTH - 202204,MTH - 202205,MTH - 202206,MTH - 202207,MTH - 202208,MTH - 202209,MTH - 202210,MTH - 202211,MTH - 202212,MTH - 202301,MTH - 202302, MTH Actual , MTH Anterior , MAT Actual , MAT Anterior , YTD Actual , YTD Anterior , QTR Actual , QTR Anterior 
LOCIÓN,DIRECTO,CUERPO,SENSITIVE/DRY,Incluir,82F1C,PH Body,PH Body Care,NO,EUCERIN PH5 LOC. 250ML x 1                                   ,EUCERIN PH5 (BEI)        ,EUCERIN PH5 (BEI)        ,BEIERSDORF        ,POPULAR                  ,34239,906,3942,1273,1299,1342,6153,884,1103,5831,1802,6102,1417,773,3336,646,826,805,1144,640,953,3931,1807,3815,1501," 1,501.00 "," 1,417.00 "," 20,177.00 "," 32,054.00 "," 5,316.00 "," 7,519.00 "," 7,123.00 "," 9,321.00 "
LOCIÓN,INDIRECTO,CUERPO,SENSITIVE/DRY,Incluir,82F1C,PH Body,PH Body Care,NO,EUCERIN PH5 LOC. 250ML x 1                                   ,EUCERIN PH5 (BEI)        ,EUCERIN PH5 (BEI)        ,BEIERSDORF        ,POPULAR                  ,34239,764,1193,895,801,1192,1335,821,912,919,794,1092,437,551,621,390,435,813,486,419,548,491,389,929,310, 310.00 , 437.00 ," 6,382.00 "," 11,155.00 "," 1,239.00 "," 1,529.00 "," 1,628.00 "," 2,323.00 "
CREMA,DIRECTO,CUERPO,SENSITIVE/DRY,Incluir,82F1B,PH Body,PH Body Care,NO,EUCERIN PH5 CREMA 100G x 1                                   ,EUCERIN PH5 (BEI)        ,EUCERIN PH5 (BEI)        ,BEIERSDORF        ,POPULAR                  ,34368,1195,980,1322,720,341,155,39,23,7,13,10,8,4,3,1,1,1,1,2,0,2,3,0,0, -   , 8.00 , 18.00 ," 4,813.00 ", -   , 18.00 , 3.00 , 31.00 
CREMA,INDIRECTO,CUERPO,SENSITIVE/DRY,Incluir,82F1B,PH Body,PH Body Care,NO,EUCERIN PH5 CREMA 100G x 1                                   ,EUCERIN PH5 (BEI)        ,EUCERIN PH5 (BEI)        ,BEIERSDORF        ,POPULAR                  ,34368,185,266,46,16,0,3,160,56,9,76,171,21,0,0,1,0,0,0,0,0,0,0,0,0, -   , 21.00 , 1.00 ," 1,009.00 ", -   , 192.00 , -   , 268.00 
LIMPIEZA,DIRECTO,CUERPO,SENSITIVE/DRY,Incluir,85A2A,PH Body Cleansing,PH Soap,PH Soap,EUCERIN PH5 SYNDET BARRA 100G x 1                            ,EUCERIN PH5 (BEI)        ,EUCERIN PH5 (BEI)        ,BEIERSDORF        ,POPULAR                  ,35301,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   , -   , 2.00 , -   , -   , -   , -   
EMULSIÓN,DIRECTO,CUERPO,SENSITIVE/DRY,Incluir,82F1B,PH Body,PH Body Care,NO,AYR C/UREA EMULS 10.0% 100ML x 1                             ,AYR C/UREA (S7F)         ,AYR C/UREA (S7F)         ,SMB FARMA         ,POPULAR                  ,36799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   , -   , -   , -   , -   , -   , -   
EMULSIÓN,INDIRECTO,CUERPO,SENSITIVE/DRY,Incluir,82F1B,PH Body,PH Body Care,NO,AYR C/UREA EMULS 10.0% 100ML x 1                             ,AYR C/UREA (S7F)         ,AYR C/UREA (S7F)         ,SMB FARMA         ,POPULAR                  ,36799,0,3,1,0,31,0,0,1,2,7,0,0,3,6,2,10,5,0,0,3,0,0,0,3, 3.00 , -   , 32.00 , 45.00 , 3.00 , -   , 3.00 , 7.00 
LIMPIEZA,DIRECTO,CUERPO,SENSITIVE/DRY,Incluir,85A2B,PH Body Cleansing,PH Soap,PH Soap,EUCERIN PH5 SYNDET GEL 250ML x 1                             ,EUCERIN PH5 (BEI)        ,EUCERIN PH5 (BEI)        ,BEIERSDORF        ,POPULAR                  ,37711,1676,883,618,586,1167,1709,1683,1147,890,2310,3312,3079,3273,4117,1641,1417,786,1171,1130,1332,995,1338,1198,1130," 1,130.00 "," 3,079.00 "," 19,528.00 "," 19,060.00 "," 2,328.00 "," 6,391.00 "," 3,666.00 "," 8,701.00 "
LIMPIEZA,INDIRECTO,CUERPO,SENSITIVE/DRY,Incluir,85A2B,PH Body Cleansing,PH Soap,PH Soap,EUCERIN PH5 SYNDET GEL 250ML x 1                             ,EUCERIN PH5 (BEI)        ,EUCERIN PH5 (BEI)        ,BEIERSDORF        ,POPULAR                  ,37711,95,152,110,70,430,172,428,525,140,343,762,731,769,722,471,596,632,244,230,280,217,406,212,174, 174.00 , 731.00 ," 4,953.00 "," 3,958.00 ", 386.00 ," 1,493.00 ", 792.00 ," 1,836.00 "
SPRAY,DIRECTO,ROSTRO,HIDRATACIÓN,Incluir,82A7&,PH Face,PH Face Care excl. Acne,PH Face Water Sprays,AGUA TERMAL AVENE AERO 150ML x 1                             ,AGUA TERMAL AVENE (P.F)  ,AGUA TERMAL AVENE (P.F)  ,PIERRE FABRE      ,POPULAR                  ,37730,6208,6107,8554,4825,8354,7081,9157,7862,9308,15621,11480,4007,5129,4769,7216,4656,5271,5829,6094,5222,6207,13566,5001,6279," 6,279.00 "," 4,007.00 "," 75,239.00 "," 98,564.00 "," 11,280.00 "," 15,487.00 "," 24,846.00 "," 31,108.00 "
