TIPO,CANAL,CATEGORIA,SUBCATEGORIA,Incluir,otc4_code,Category,SubCategory,Segment,PRESENTACION,PRODUCTO,BRAND,LABORATORIO,ETICO/POPULAR,FCC,MTH - 202103,MTH - 202104,MTH - 202105,MTH - 202106,MTH - 202107,MTH - 202108,MTH - 202109,MTH - 202110,MTH - 202111,MTH - 202112,MTH - 202201,MTH - 202202,MTH - 202203,MTH - 202204,MTH - 202205,MTH - 202206,MTH - 202207,MTH - 202208,MTH - 202209,MTH - 202210,MTH - 202211,MTH - 202212,MTH - 202301,MTH - 202302, MTH Actual , MTH Anterior , MAT Actual , MAT Anterior , YTD Actual , YTD Anterior , QTR Actual , QTR Anterior 
LOCIÓN,DIRECTO,CUERPO,SENSITIVE/DRY,Incluir,82F1C,PH Body,PH Body Care,NO,EUCERIN PH5 LOC. 250ML x 1                                   ,EUCERIN PH5 (BEI)        ,EUCERIN PH5 (BEI)        ,BEIERSDORF        ,POPULAR                  ,34239,12658019,52223240,17967271,19182770,19970078,76026023,13201096,16187158,71805736,26827556,74138916,21160951,11396506,44686688,9568875,11904146,10873479,16325469,9367448,13244797,51159104,26242062,48464922,22194978," 22,194,978.00 "," 21,160,951.00 "," 275,428,474.00 "," 421,348,814.00 "," 70,659,900.00 "," 95,299,867.00 "," 96,901,962.00 "," 122,127,423.00 "
LOCIÓN,INDIRECTO,CUERPO,SENSITIVE/DRY,Incluir,82F1C,PH Body,PH Body Care,NO,EUCERIN PH5 LOC. 250ML x 1                                   ,EUCERIN PH5 (BEI)        ,EUCERIN PH5 (BEI)        ,BEIERSDORF        ,POPULAR                  ,34239,10674099,15804724,12632135,11828628,17737953,16495134,12260296,13384123,11316977,11820786,13267703,6525979,8123509,8318456,5776879,6269126,10981548,6935457,6132751,7616104,6389979,5649212,11801793,4583890," 4,583,890.00 "," 6,525,979.00 "," 88,578,704.00 "," 153,748,537.00 "," 16,385,683.00 "," 19,793,682.00 "," 22,034,895.00 "," 31,614,468.00 "
CREMA,DIRECTO,CUERPO,SENSITIVE/DRY,Incluir,82F1B,PH Body,PH Body Care,NO,EUCERIN PH5 CREMA 100G x 1                                   ,EUCERIN PH5 (BEI)        ,EUCERIN PH5 (BEI)        ,BEIERSDORF        ,POPULAR                  ,34368,15179230,12645978,17225920,9512347,4493466,1756528,449059,269962,88781,163154,112861,98352,50392,36975,11668,15361,7807,7303,22402,0,25226,11326,0,0, -   ," 98,352.00 "," 188,460.00 "," 61,995,638.00 ", -   ," 211,213.00 "," 11,326.00 "," 374,367.00 "
CREMA,INDIRECTO,CUERPO,SENSITIVE/DRY,Incluir,82F1B,PH Body,PH Body Care,NO,EUCERIN PH5 CREMA 100G x 1                                   ,EUCERIN PH5 (BEI)        ,EUCERIN PH5 (BEI)        ,BEIERSDORF        ,POPULAR                  ,34368,2349909,3432471,599383,211383,0,33996,1842325,657309,114149,953848,1930040,258181,0,0,11668,0,0,0,0,0,0,0,0,0, -   ," 258,181.00 "," 11,668.00 "," 12,382,994.00 ", -   ," 2,188,221.00 ", -   ," 3,142,069.00 "
LIMPIEZA,DIRECTO,CUERPO,SENSITIVE/DRY,Incluir,85A2A,PH Body Cleansing,PH Soap,PH Soap,EUCERIN PH5 SYNDET BARRA 100G x 1                            ,EUCERIN PH5 (BEI)        ,EUCERIN PH5 (BEI)        ,BEIERSDORF        ,POPULAR                  ,35301,0,0,0,0,0,0,7625,6586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   , -   ," 14,211.00 ", -   , -   , -   , -   
EMULSIÓN,DIRECTO,CUERPO,SENSITIVE/DRY,Incluir,82F1B,PH Body,PH Body Care,NO,AYR C/UREA EMULS 10.0% 100ML x 1                             ,AYR C/UREA (S7F)         ,AYR C/UREA (S7F)         ,SMB FARMA         ,POPULAR                  ,36799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   , -   , -   , -   , -   , -   , -   
EMULSIÓN,INDIRECTO,CUERPO,SENSITIVE/DRY,Incluir,82F1B,PH Body,PH Body Care,NO,AYR C/UREA EMULS 10.0% 100ML x 1                             ,AYR C/UREA (S7F)         ,AYR C/UREA (S7F)         ,SMB FARMA         ,POPULAR                  ,36799,0,22931,5765,0,195761,0,0,6586,13170,48113,0,0,20661,39631,12355,67031,31231,0,0,18510,0,0,0,19405," 19,405.00 ", -   ," 208,824.00 "," 292,326.00 "," 19,405.00 ", -   ," 19,405.00 "," 48,113.00 "
LIMPIEZA,DIRECTO,CUERPO,SENSITIVE/DRY,Incluir,85A2B,PH Body Cleansing,PH Soap,PH Soap,EUCERIN PH5 SYNDET GEL 250ML x 1                             ,EUCERIN PH5 (BEI)        ,EUCERIN PH5 (BEI)        ,BEIERSDORF        ,POPULAR                  ,37711,19536298,10260937,7283003,6851074,13716658,19691235,19721281,12798421,10385497,25245107,39097152,34435206,36624478,46337660,18247421,15217201,8652994,14093814,13400303,15450729,12048483,15892943,12565350,14253126," 14,253,126.00 "," 34,435,206.00 "," 222,784,502.00 "," 219,021,869.00 "," 26,818,476.00 "," 73,532,358.00 "," 42,711,419.00 "," 98,777,465.00 "
LIMPIEZA,INDIRECTO,CUERPO,SENSITIVE/DRY,Incluir,85A2B,PH Body Cleansing,PH Soap,PH Soap,EUCERIN PH5 SYNDET GEL 250ML x 1                             ,EUCERIN PH5 (BEI)        ,EUCERIN PH5 (BEI)        ,BEIERSDORF        ,POPULAR                  ,37711,1107362,1766315,1296316,818386,5054116,1981788,5015255,5858036,1633666,3748493,8995159,8175400,8604994,8126236,5237362,6400463,6957641,2936695,2727477,3247888,2627655,4822510,2223564,2194714," 2,194,714.00 "," 8,175,400.00 "," 56,107,199.00 "," 45,450,292.00 "," 4,418,278.00 "," 17,170,559.00 "," 9,240,788.00 "," 20,919,052.00 "
SPRAY,DIRECTO,ROSTRO,HIDRATACIÓN,Incluir,82A7&,PH Face,PH Face Care excl. Acne,PH Face Water Sprays,AGUA TERMAL AVENE AERO 150ML x 1                             ,AGUA TERMAL AVENE (P.F)  ,AGUA TERMAL AVENE (P.F)  ,PIERRE FABRE      ,POPULAR                  ,37730,53907990,53679990,73386322,40829418,66578941,61638241,81232452,77472148,82381583,135499183,96646149,42405621,50434214,42840089,62111629,42913781,50867420,53128129,61162936,58318045,65213146,127952094,56324260,74650746," 74,650,746.00 "," 42,405,621.00 "," 745,916,489.00 "," 865,658,038.00 "," 130,975,006.00 "," 139,051,770.00 "," 258,927,100.00 "," 274,550,953.00 "
