CATEGORIA,SUBCATEGORIA,PRESENTACION,PRODUCTO,BRAND,LABORATORIO,ETICO/POPULAR,MTH - 202103,MTH - 202104,MTH - 202105,MTH - 202106,MTH - 202107,MTH - 202108,MTH - 202109,MTH - 202110,MTH - 202111,MTH - 202112,MTH - 202201,MTH - 202202,MTH - 202203,MTH - 202204,MTH - 202205,MTH - 202206,MTH - 202207,MTH - 202208,MTH - 202209,MTH - 202210,MTH - 202211,MTH - 202212,MTH - 202301,MTH - 202302,MAT 22,MAT 23,P3M 22,P3M 23,YTD 22,YTD 23
BODY,BODY CARE - CRACKED SKIN,URIAGE BARIEDERM UNGT   40G X 1,URIAGE BARIEDERM (MVE),MEDIVELIUS,MEDIVELIUS,POPULAR,2,,,2,,,2,,1,,,,,,,,,,1,,,,,,7,1,0,0,0,0
BODY,BODY CARE - PIEL ATOPICA TRATAMIENTO,ADERMA EXOMEGA CC200+A D200    X 1,ADERMA EXOMEGA (PC6),PERCOS,PERCOS,POPULAR,1,1,3,,2,,,,,,,,,,,,,,,,,,,,7,0,0,0,0,0
BODY,BODY CARE - PIEL ATOPICA TRATAMIENTO,NUTRATOPIC PRO-AMP GE B EM P/RE   400ML X 1,NUTRATOPIC PRO-AMP (ISD),ISDIN,ISDIN,POPULAR,108,80,103,91,247,161,140,161,124,171,161,159,185,176,204,178,276,239,233,237,238,264,266,280,1706,2776,491,810,320,546
BODY,BODY CARE - PIEL SECA TRATAMIENTO,EUCERIN PH5 POM.REGENERA   100ML X 1,EUCERIN PH5 (BEI),EUCERIN,BEIERSDORF,POPULAR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
BODY,BODY CARE - PIEL SECA UREA,UREADIN RX 40 GEL OIL 40% 30ML X 1,UREADIN RX 40 (ISD),ISDIN,ISDIN,POPULAR,92,72,78,67,149,100,106,114,88,98,76,98,113,103,133,88,127,137,142,141,142,117,135,171,1138,1549,272,423,174,306
BODY,BODY CARE - PIEL SENSIBLE TRATAMIENTO,CERAVE CR.HIDRATANT   170G X 1,CERAVE (L/O),CERAVE,LOREAL,POPULAR,,,,,,,,,,,90,356,328,372,376,532,603,634,777,680,717,1121,670,503,446,7313,446,2294,446,1173
BODY,BODY CARE - PIEL SENSIBLE TRATAMIENTO,EUCERIN PH5 LOC.P/SENSIB   400ML X 1,EUCERIN PH5 (BEI),EUCERIN,BEIERSDORF,POPULAR,1193,1075,1182,830,1299,1244,1258,1317,1141,2363,1374,1621,1835,1467,1620,3419,1644,1534,1661,1424,3274,1821,1564,1778,15897,23041,5358,5163,2995,3342
BODY,BODY CARE - PIEL SENSIBLE TRATAMIENTO,HYDRASKIN LOC.   240ML X 1,HYDRASKIN (P7D),PHARMADERM,PHARMADERM,POPULAR,150,94,136,85,125,116,94,136,95,112,67,64,99,60,69,110,69,63,81,69,76,91,64,53,1274,904,243,208,131,117
BODY,BODY CARE - PIEL SENSIBLE TRATAMIENTO,LENIDERM CREMA   280G X 1,LENIDERM (SIE),SIEGFRIED,SIEGFRIED,POPULAR,208,202,171,154,175,152,175,177,151,188,133,180,203,159,173,191,250,216,235,194,152,157,94,73,2066,2097,501,324,313,167
BODY,BODY CARE - PIEL SENSIBLE TRATAMIENTO,LENIDERM LOC.   240G X 1,LENIDERM (SIE),SIEGFRIED,SIEGFRIED,POPULAR,316,289,255,256,297,310,326,259,265,285,210,280,319,238,217,213,203,193,237,236,200,214,198,221,3348,2689,775,633,490,419
BODY,BODY CARE- PIEL SENSIBLE TRATAMIENTO,ATODERM CREMA ULTRA   500ML X 1,ATODERM (BDM),BIODERMA,BIODERMA,POPULAR,,,,,,,,,,,,,,,,,9,60,91,57,71,135,107,115,0,645,0,357,0,222
BODY,BODY CARE- PIEL SENSIBLE TRATAMIENTO,ISDIN WOMAN CR A/ESTRIAS   250ML X 1,ISDIN WOMAN (ISD),ISDIN,ISDIN,POPULAR,,,,,,,,,,,,,,,,,,,,32,60,122,120,155,0,489,0,397,0,275
BODY,BODY CLEANSING - PIEL ATOPICA LIMPIEZA,XERODIANE AP + CREM DUCHA   500ML X 1,XERODIANE AP + (I8F),INNOFAR,INNOFAR,POPULAR,,1,,,,1,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0
BODY,BODY CLEANSING - PIEL SENSIBLE LIMPIEZA,ATODERM DOUCHE ACEITE DUCHA   100ML X 1,ATODERM DOUCHE (BDM),BIODERMA,BIODERMA,POPULAR,27,17,15,13,12,9,28,22,29,16,10,26,15,29,21,23,18,42,26,17,34,49,50,36,224,360,52,135,36,86
BODY,BODY CLEANSING - PIEL SENSIBLE LIMPIEZA,LACTIBON PH LOC.   120ML X 1,LACTIBON PH (MLB),ROEMMERS,MEGALABS,POPULAR,406,377,366,418,399,401,392,400,384,349,310,321,345,277,286,355,309,360,298,315,303,340,286,264,4523,3738,980,890,631,550
BODY,BODY CLEANSING - PIEL SENSIBLE LIMPIEZA,XERODIANE AP + ACEITE DUCHA   400ML X 1,XERODIANE AP + (I8F),INNOFAR,INNOFAR,POPULAR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
FACE TOTAL,ACNE CARE,AVENE CLEAN AC CREMA   40ML X 1,AVENE CLEAN AC (PC6),AVENE,PERCOS,POPULAR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
FACE TOTAL,ACNE CARE,AVENE CLEANANCE CREMA HIDRAT   40ML X 1,AVENE CLEANANCE (PC6),AVENE,PERCOS,POPULAR,43,26,36,9,19,3,30,25,15,25,9,5,10,13,7,8,13,12,12,12,14,14,3,1,245,119,39,18,14,4
FACE TOTAL,ACNE CARE,EFFACLAR DUO GEL+ANTH.A/I   40ML X 1,EFFACLAR DUO (LRP),LRP,LA ROCHE POSAY,POPULAR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
FACE TOTAL,ACNE CARE,FISOHEX GEL A/ACN GA   30G X 1,FISOHEX (GIE),GIMED,GIMED,POPULAR,109,23,41,36,25,28,287,180,196,214,175,183,252,139,122,143,100,84,65,74,62,67,63,45,1497,1216,572,175,358,108
FACE TOTAL,ACNE CARE,TEEN DERM CR ANTI IMP   30ML X 1,TEEN DERM (S1F),SISCOL FARMA S.A.,SISCOL FARMA S.A.,POPULAR,,,,,,,,,,,,,,,,,,,,,5,2,,4,0,11,0,6,0,4
