CATEGORIA,SUBCATEGORIA,PRESENTACION,PRODUCTO,BRAND,LABORATORIO,ETICO/POPULAR,MTH - 202103,MTH - 202104,MTH - 202105,MTH - 202106,MTH - 202107,MTH - 202108,MTH - 202109,MTH - 202110,MTH - 202111,MTH - 202112,MTH - 202201,MTH - 202202,MTH - 202203,MTH - 202204,MTH - 202205,MTH - 202206,MTH - 202207,MTH - 202208,MTH - 202209,MTH - 202210,MTH - 202211,MTH - 202212,MTH - 202301,MTH - 202302,MAT 22,MAT 23,P3M 22,P3M 23,YTD 22,YTD 23
BODY,BODY CARE - CRACKED SKIN,URIAGE BARIEDERM UNGT   40G X 1,URIAGE BARIEDERM (MVE),MEDIVELIUS,MEDIVELIUS,POPULAR,164000,,,113092,,,113092,,55692,,,,,,,,,,57400,,,,,,445876,57400,0,0,0,0
BODY,BODY CARE - PIEL ATOPICA TRATAMIENTO,ADERMA EXOMEGA CC200+A D200    X 1,ADERMA EXOMEGA (PC6),PERCOS,PERCOS,POPULAR,45000,64286,186429,,109286,,,,,,,,,,,,,,,,,,,,405001,0,0,0,0,0
BODY,BODY CARE - PIEL ATOPICA TRATAMIENTO,NUTRATOPIC PRO-AMP GE B EM P/RE   400ML X 1,NUTRATOPIC PRO-AMP (ISD),ISDIN,ISDIN,POPULAR,6294240,4759520,6204823,5453175,16399318,10003091,9919840,10978912,8922172,11937168,11667831,10941426,12349120,11912736,14053356,12498270,18970860,16594009,15969587,16292802,16234456,17538048,17878126,20031480,113481516,190322850,34546425,55447654,22609257,37909606
BODY,BODY CARE - PIEL SECA TRATAMIENTO,EUCERIN PH5 POM.REGENERA   100ML X 1,EUCERIN PH5 (BEI),EUCERIN,BEIERSDORF,POPULAR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
BODY,BODY CARE - PIEL SECA UREA,UREADIN RX 40 GEL OIL 40% 30ML X 1,UREADIN RX 40 (ISD),ISDIN,ISDIN,POPULAR,4517200,3468960,3731130,3235765,6597422,4937800,6412788,5640720,4714336,5157152,4122012,5300036,6080304,5640177,7406105,4992768,7205472,7251821,7535514,7482447,7535514,7088094,7523280,9033759,57835321,84775255,14579200,23645133,9422048,16557039
BODY,BODY CARE - PIEL SENSIBLE TRATAMIENTO,CERAVE CR.HIDRATANT   170G X 1,CERAVE (L/O),CERAVE,LOREAL,POPULAR,,,,,,,,,,,2964510,14480656,13144272,14925384,15437056,23230312,24473961,26120800,31330194,27094600,29708178,45341087,28427430,22589227,17445166,301822501,17445166,96357744,17445166,51016657
BODY,BODY CARE - PIEL SENSIBLE TRATAMIENTO,EUCERIN PH5 LOC.P/SENSIB   400ML X 1,EUCERIN PH5 (BEI),EUCERIN,BEIERSDORF,POPULAR,89379560,80203600,87497550,66637380,94641243,93644588,101848938,107074734,87079979,193508433,110847450,129281234,151270060,122912595,145801620,319549997,142810992,136808256,144002056,132570128,308682542,174752265,150306656,178813460,1241644689,2108280627,433637117,503872381,240128684,329120116
BODY,BODY CARE - PIEL SENSIBLE TRATAMIENTO,HYDRASKIN LOC.   240ML X 1,HYDRASKIN (P7D),PHARMADERM,PHARMADERM,POPULAR,9250800,5814276,8260096,5247985,7727250,7319484,5641692,8608528,5872520,7050512,4257046,4228224,6757641,3968640,4665573,7375940,4635144,4327722,5519907,4480170,5019344,6558825,4762304,3838260,79278413,61909470,15535782,15159389,8485270,8600564
BODY,BODY CARE - PIEL SENSIBLE TRATAMIENTO,LENIDERM CREMA   280G X 1,LENIDERM (SIE),SIEGFRIED,SIEGFRIED,POPULAR,17159376,16635710,14197104,12520970,14084525,13068808,15433775,15358998,12598534,17022272,11615289,16071300,17597055,13830456,14876789,17806548,23670750,20894976,20390480,17399278,14500040,15638142,9862574,7238388,175766661,193705476,44708861,32739104,27686589,17100962
BODY,BODY CARE - PIEL SENSIBLE TRATAMIENTO,LENIDERM LOC.   240G X 1,LENIDERM (SIE),SIEGFRIED,SIEGFRIED,POPULAR,19954452,18358147,16107075,16326912,18067698,20023830,20816404,17078719,16242115,18667785,13040580,16917320,19763645,16485546,15442588,15412893,15178919,14340479,16477662,16238924,14758000,16197446,14971374,16675776,211601037,191943252,48625685,47844596,29957900,31647150
BODY,BODY CARE- PIEL SENSIBLE TRATAMIENTO,ATODERM CREMA ULTRA   500ML X 1,ATODERM (BDM),BIODERMA,BIODERMA,POPULAR,,,,,,,,,,,,,,,,,814698,5450820,9691500,6095979,7010895,12117330,9460619,10699600,0,61341441,0,32277549,0,20160219
BODY,BODY CARE- PIEL SENSIBLE TRATAMIENTO,ISDIN WOMAN CR A/ESTRIAS   250ML X 1,ISDIN WOMAN (ISD),ISDIN,ISDIN,POPULAR,,,,,,,,,,,,,,,,,,,,2423264,5436540,11166660,11056320,13978365,0,44061149,0,36201345,0,25034685
BODY,BODY CLEANSING - PIEL ATOPICA LIMPIEZA,XERODIANE AP + CREM DUCHA   500ML X 1,XERODIANE AP + (I8F),INNOFAR,INNOFAR,POPULAR,,126122,,,,126122,,,,,,,,,,,,,,,,,,,252244,0,0,0,0,0
BODY,BODY CLEANSING - PIEL SENSIBLE LIMPIEZA,ATODERM DOUCHE ACEITE DUCHA   100ML X 1,ATODERM DOUCHE (BDM),BIODERMA,BIODERMA,POPULAR,1035180,645966,614295,519506,472248,325206,1059240,841060,1230644,647616,501830,965094,556785,1240214,879732,971911,758106,1805706,1231516,854692,1566992,2116457,2124600,1507176,8857885,15613887,2114540,5748233,1466924,3631776
BODY,BODY CLEANSING - PIEL SENSIBLE LIMPIEZA,LACTIBON PH LOC.   120ML X 1,LACTIBON PH (MLB),ROEMMERS,MEGALABS,POPULAR,15071532,13901875,13989252,15951298,15034719,15341458,15996344,15958400,14990976,13999437,12101780,13715367,14065995,11796045,12188748,16112030,13751736,16018200,13646016,13984740,12989307,16357740,13593294,12735888,176052438,167239739,39816584,42686922,25817147,26329182
BODY,BODY CLEANSING - PIEL SENSIBLE LIMPIEZA,XERODIANE AP + ACEITE DUCHA   400ML X 1,XERODIANE AP + (I8F),INNOFAR,INNOFAR,POPULAR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
FACE TOTAL,ACNE CARE,AVENE CLEAN AC CREMA   40ML X 1,AVENE CLEAN AC (PC6),AVENE,PERCOS,POPULAR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
FACE TOTAL,ACNE CARE,AVENE CLEANANCE CREMA HIDRAT   40ML X 1,AVENE CLEANANCE (PC6),AVENE,PERCOS,POPULAR,3079961,2227550,2375496,621936,1265001,203160,1961700,1635000,998610,1698625,607959,337775,719070,941200,496699,579200,941200,868800,868800,868800,1013600,1110200,237900,79300,17012773,8724769,2644359,1427400,945734,317200
FACE TOTAL,ACNE CARE,EFFACLAR DUO GEL+ANTH.A/I   40ML X 1,EFFACLAR DUO (LRP),LRP,LA ROCHE POSAY,POPULAR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
FACE TOTAL,ACNE CARE,FISOHEX GEL A/ACN GA   30G X 1,FISOHEX (GIE),GIMED,GIMED,POPULAR,2931228,629096,1121473,978480,677825,709324,7432726,4912740,5365500,5944706,4842775,5039637,7504056,4204194,3694404,4314167,3014500,2538396,1959165,2236798,1876554,2059982,1922571,1513305,40585510,36838092,15827118,5495858,9882412,3435876
FACE TOTAL,ACNE CARE,TEEN DERM CR ANTI IMP   30ML X 1,TEEN DERM (S1F),SISCOL FARMA S.A.,SISCOL FARMA S.A.,POPULAR,,,,,,,,,,,,,,,,,,,,,497850,199140,,528000,0,1224990,0,727140,0,528000
FACE TOTAL,ACNE CARE,URIAGE EMUL.HYS.AHA   40ML X 1,URIAGE (MVE),MEDIVELIUS,MEDIVELIUS,POPULAR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
FACE TOTAL,ACNE CLEANSING,EUCERIN DERMOPURE GEL OIL/CONT   200ML X 1,EUCERIN DERMOPURE (BEI),EUCERIN,BEIERSDORF,POPULAR,554653,,50423,3562500,12110735,9619450,22996064,22333440,22630933,38174640,32407440,39547560,47833070,57959664,57822660,40200864,55452166,45195490,57597540,46708840,51544976,52775932,25833652,24993360,203987838,563918214,110129640,103602944,71955000,50827012
FACE TOTAL,ACNE CLEANSING,NORMADERM TONICO   200ML X 1,NORMADERM (VCY),VICHY,VICHY,POPULAR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
FACE TOTAL,ACNE CLEANSING,URIAGE GEL.HYSE.LIM   500ML X 1,URIAGE (MVE),MEDIVELIUS,MEDIVELIUS,POPULAR,1602003,1368500,1042112,1581480,3032090,1786750,1847475,1655875,1573776,2402568,1338080,2212452,3332275,1895362,2606980,2134860,1937012,1263780,1631513,1893000,3298680,1428000,1977780,2051994,21443161,25451236,5953100,5457774,3550532,4029774
FACE TOTAL,FACE CARE - AGUAS TERMALES,URIAGE AGUA TERMAL LOC.CORPORAL   500ML X 1,URIAGE AGUA TERMAL (MVE),MEDIVELIUS,MEDIVELIUS,POPULAR,2069956,1511100,1781000,2986290,1523477,1443096,776530,407155,230862,251850,,335800,251850,167900,83950,,83950,167900,167900,503700,419750,251850,335800,178866,13317116,2613416,587650,766516,335800,514666
FACE TOTAL,FACE CARE - AGUAS TERMALES,URIAGE SP AG TERMAL   150ML X 1,URIAGE (MVE),MEDIVELIUS,MEDIVELIUS,POPULAR,1107975,711664,1041831,1244448,1203350,927380,1080408,1327040,1386816,1103900,1698633,1808510,2329950,1618269,1738035,2400372,2183895,1533240,2042600,2559741,1637202,2868970,2115354,2996565,14641955,26024193,4611043,7980889,3507143,5111919
FACE TOTAL,FACE CARE - ANTIEDAD,ALSACE CR REA CU BR   60ML X 1,ALSACE (EQE),EPIDERMIQUE,EPIDERMIQUE,POPULAR,350460,88762,178178,89417,267594,178396,88200,177524,529200,264600,264600,264600,176400,270600,90200,271098,,,180900,90200,234988,271098,,868000,2741531,2453484,793800,1139098,529200,868000
FACE TOTAL,FACE CARE - ANTIEDAD,AVENE PHYSIOLIFT C CO15+SCO15   30ML X 1,AVENE PHYSIOLIFT (PC6),AVENE,PERCOS,POPULAR,208428,1213170,7648750,5735244,9716775,4962816,5526307,763386,686345,2522630,790236,788949,410421,903824,615630,93513,287295,95765,232572,,136807,136657,136807,273614,40563036,3322905,4101815,547078,1579185,410421
FACE TOTAL,FACE CARE - ANTIEDAD,AVENE PHYSIOLIFT EMULS.DIA   30ML X 1,AVENE PHYSIOLIFT (PC6),AVENE,PERCOS,POPULAR,11120670,10985408,6877668,12444150,8154864,7080008,12756030,8998115,13845044,8954820,7286800,4823225,8066799,7543079,8369904,11601036,6609124,4652348,10664568,5501561,10964898,15773320,8012794,15179850,113326802,112939281,21064845,38965964,12110025,23192644
FACE TOTAL,FACE CARE - ANTIEDAD,EUCERIN ELASTICITY ACE FAC FILL   30ML X 1,EUCERIN ELASTICITY (BEI),EUCERIN,BEIERSDORF,POPULAR,,,,,,,,867000,,,,,,,,,,,,,,,,,867000,0,0,0,0,0
FACE TOTAL,FACE CARE - ANTIEDAD,EUCERIN HYALU.FIL CONCENTRADO   5ML X 6,EUCERIN HYALU.FIL (BEI),EUCERIN,BEIERSDORF,POPULAR,15375120,14632999,17172540,9708489,18236205,15604560,23250128,21075246,17142370,21644112,10995264,16428847,15791750,15810240,17809998,19720920,18749763,10533525,18327675,12663920,13608056,13347530,16882142,16667460,201265880,189912979,49068223,46897132,27424111,33549602
FACE TOTAL,FACE CARE - ANTIEDAD,FLAVO-C  ISDIN SERUM ANTIOX   30ML X 1,FLAVO-C  ISDIN (ISD),ISDIN,ISDIN,POPULAR,13751769,18449580,11626600,5037372,27695362,17471376,20706510,27152554,17035656,33829082,27541376,24963204,18833920,33971322,46538765,53739180,74229844,70509742,77980189,89698972,81733977,105148708,99957009,121784214,245260441,874125842,86333662,326889931,52504580,221741223
FACE TOTAL,FACE CARE - ANTIEDAD,FLAVO-C  ISDIN SERUM FORTE   5.3ML X 1,FLAVO-C  ISDIN (ISD),ISDIN,ISDIN,POPULAR,,,,,,,,,,,,,,,,2100000,,,,735713,1089275,1714272,1503556,4372848,0,11515664,0,7590676,0,5876404
FACE TOTAL,FACE CARE - ANTIEDAD,HYALU  B5 CREMA   40ML X 1,HYALU  B5 (LRP),LRP,LA ROCHE POSAY,POPULAR,9058064,5616545,5831320,4862150,8656788,7258756,8358090,5099006,6484968,10715553,5536314,7099736,8110149,8823204,8173732,7825702,7929956,5390658,6630208,7668660,6593538,5368748,6092448,3495925,84577290,82102928,23351603,14957121,12636050,9588373
