CATEGORIA,SEGMENTO,MARCA,SKU,01/01/2018,01/02/2018,01/03/2018,01/04/2018,01/05/2018,01/06/2018,01/07/2018,01/08/2018,01/09/2018,01/10/2018,01/11/2018,01/12/2018,01/01/2019,01/02/2019,01/03/2019,01/04/2019,01/05/2019,01/06/2019,01/07/2019,01/08/2019,01/09/2019,01/10/2019,01/11/2019,01/12/2019,01/01/2020,01/02/2020,01/03/2020,01/04/2020,01/05/2020,01/06/2020,01/07/2020,01/08/2020,01/09/2020,01/10/2020,01/11/2020,01/12/2020,01/01/2021,01/02/2021,01/03/2021,01/04/2021,01/05/2021,01/06/2021,01/07/2021,01/08/2021,01/09/2021,01/10/2021,01/11/2021,01/12/2021,01/01/2022,01/02/2022,01/03/2022,01/04/2022,01/05/2022,01/06/2022,01/07/2022,01/08/2022,01/09/2022,01/10/2022,01/11/2022,01/12/2022,01/01/2023,01/02/2023,YTD 22,YTD 23
FOTOPROTECTOR,Antiedad,Isdin,FOTO ULT ISDIN AGE REPAIR SFF50 FC 10ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,111",64,"2,998",254,375,300,0,675
FOTOPROTECTOR,Sun Adult,Avene,AVENE LECHE SPF 50  100 ML X 1 (INF),517,689,344,86,86,,,,,,86,86,,258,86,258,,,86,,86,,344,344,258,431,172,,,,,,,86,90,,96,194,,,,,85,52,101,115,,241,,103,317,,,106,,,,,,,,,103,0
FOTOPROTECTOR,Sun Adult,Bioderma,PHOTOD.AKN BLOQ SPF30 SPRAY FCOX100ML,377,96,384,289,96,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FOTOPROTECTOR,Sun Adult,Bioderma,PHOTOD.LAIT ULTRA SPF50+ TBO 200ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,173","37,302","64,923","109,009",0,173932
FOTOPROTECTOR,Sun Adult,Bioderma,PHOTODERM FLU MAX LAIT  100 ML X 1,"3,214",494,"1,236",494,371,124,124,124,989,494,494,124,494,618,,247,247,247,371,,247,124,247,124,"3,708","6,181",371,,,,"4,326",247,247,,330,660,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,0
FOTOPROTECTOR,Sun Adult,Bioderma,PHOTODERM K LA NC 50+T  100 ML X 1,"27,327","15,852","10,765","12,658","10,174","6,861","10,410","13,368","14,078","16,562","12,895","12,895","45,546","31,823","17,035","8,754","8,991","6,270","11,475","11,120","8,518","10,056","12,776","16,680","22,240","24,961","10,056","2,248","4,969","1,538","9,937","2,839","3,194","7,098","10,122","10,022","15,441","9,462","8,183","4,527","7,223","5,887","7,378","5,010","5,466","5,963","11,936","12,279","22,688","13,208","12,278","11,061","11,212","3,236","3,557","1,839","2,486","3,200","12,788","12,521","13,962","13,984",35896,27946
FOTOPROTECTOR,Sun Adult,Bioderma,PHOTODERM M TTNCD100TE  40 ML X 1 DORE,"51,868","39,057","32,562","30,872","28,203","24,733","26,335","31,139","31,139","34,164","30,338","37,989","36,032","31,584","36,121","28,826","31,139","28,915","40,481","35,142","37,100","43,327","46,441","45,819","47,865","35,053","20,996","8,630","21,886","29,271","24,733","10,142","12,545","19,217","21,749","24,277","19,591","15,884","14,716","13,007","15,834","15,486","17,807","13,272","9,201","11,966","20,268","21,918","19,369","18,283","16,251","14,510","16,550","20,579","20,180","23,499","24,020","15,148","6,296","3,771","3,339",498,37652,3837
FOTOPROTECTOR,Sun Adult,Bioderma,PHOTODERM MA LANC100TE  100 ML X 1,"46,264","42,179","27,714","20,537","20,316","11,594","20,868","21,310","17,004","21,752","23,629","32,241","38,535","40,412","25,837","15,569","12,919","15,127","26,279","17,666","20,316","23,518","26,941","35,002","44,718","47,147","15,237","5,190","12,698","16,783","18,660","9,164","12,256","21,973","22,455","27,041","28,984","22,679","26,823","15,227","13,737","13,894","19,401","17,933","17,178","23,276","25,825","33,791","56,109","40,886","29,526","20,466","17,993","12,168","10,348","6,760","8,005","4,280",558,797,483,145,96995,628
FOTOPROTECTOR,Sun Adult,Bioderma,PHOTODERM MAX LAIT+FLUID ESTUCHE,,,,,,,,,,,,"47,527","41,040","7,194","3,184","1,061","1,061",590,590,236,354,354,472,"1,061",236,354,,,,,354,,118,708,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
FOTOPROTECTOR,Sun Adult,Bioderma,PHOTODERM SPR F50+ NC  400 ML X 1,"13,075","10,536","5,839","1,650",762,254,381,381,381,508,"6,855","34,782","32,243","17,137","8,886","7,743","3,300","1,650","6,601","3,300","4,570","6,601","10,790","13,329","21,453","27,419","8,759","1,904","2,793","2,793","4,443","1,142","3,174","15,868","9,834","18,857","13,971","3,463","13,122","4,959","3,060","3,332","5,253","5,674","4,976","11,099","12,062","26,558","47,073","15,166","15,056","12,646","7,172","4,299","7,782","5,300","6,623","7,849","13,121","45,522","54,515","50,796",62239,105311
